exec ${PAGER:-/usr/bin/less} "$0" || exit 1
Executing tests from //stubdev:cuda_fullsolve_test_22
-----------------------------------------------------------------------------
Running main() from gmock_main.cc
[==========] Running 1 test from 1 test suite.
[----------] Global test environment set-up.
[----------] 1 test from KernelTest
[ RUN      ] KernelTest.FullSolveTest
Step 0
cycles [k]: 1428884
cycles [k]: 1482807
cycles [k]: 1506831
cycles [k]: 1517574
cycles [k]: 1519521
cycles [k]: 1528813
cycles [k]: 1532532
cycles [k]: 1536554
cycles [k]: 1551841
cycles [k]: 1554284
cycles [k]: 1555720
cycles [k]: 1556829
cycles [k]: 1558046
cycles [k]: 1560624
cycles [k]: 1562716
cycles [k]: 1562964
cycles [k]: 1562973
cycles [k]: 1564040
cycles [k]: 1564530
cycles [k]: 1566057
cycles [k]: 1572623
cycles [k]: 1572695
cycles [k]: 1575802
cycles [k]: 1575873
cycles [k]: 1576675
cycles [k]: 1577762
cycles [k]: 1579100
cycles [k]: 1579348
cycles [k]: 1580710
cycles [k]: 1582944
cycles [k]: 1584338
cycles [k]: 1585126
cycles [k]: 1586497
cycles [k]: 1586631
cycles [k]: 1592926
cycles [k]: 1593744
cycles [k]: 1594049
cycles [k]: 1594253
cycles [k]: 1595134
cycles [k]: 1595420
cycles [k]: 1597485
cycles [k]: 1597802
cycles [k]: 1598027
cycles [k]: 1598992
cycles [k]: 1601628
cycles [k]: 1603210
cycles [k]: 1603758
cycles [k]: 1606473
cycles [k]: 1606563
cycles [k]: 1608769
cycles [k]: 1609135
cycles [k]: 1609546
cycles [k]: 1611153
cycles [k]: 1612724
cycles [k]: 1613845
cycles [k]: 1615074
cycles [k]: 1615175
cycles [k]: 1615266
cycles [k]: 1615332
cycles [k]: 1616078
cycles [k]: 1616418
cycles [k]: 1617180
cycles [k]: 1619530
cycles [k]: 1620241
cycles [k]: 1620368
cycles [k]: 1621764
cycles [k]: 1622002
cycles [k]: 1622035
cycles [k]: 1624435
cycles [k]: 1626196
cycles [k]: 1626607
cycles [k]: 1628713
cycles [k]: 1629301
cycles [k]: 1630819
cycles [k]: 1631206
cycles [k]: 1631384
cycles [k]: 1631849
cycles [k]: 1632235
cycles [k]: 1632275
cycles [k]: 1632667
cycles [k]: 1633375
cycles [k]: 1629452
cycles [k]: 1633647
cycles [k]: 1634372
cycles [k]: 1635161
cycles [k]: 1636005
cycles [k]: 1636454
cycles [k]: 1639639
cycles [k]: 1639804
cycles [k]: 1640460
cycles [k]: 1640613
cycles [k]: 1640626
cycles [k]: 1640797
cycles [k]: 1640952
cycles [k]: 1641106
cycles [k]: 1641115
cycles [k]: 1641162
cycles [k]: 1641808
cycles [k]: 1641830
cycles [k]: 1642169
cycles [k]: 1642273
cycles [k]: 1642315
cycles [k]: 1642475
cycles [k]: 1642912
cycles [k]: 1643379
cycles [k]: 1643570
cycles [k]: 1643993
cycles [k]: 1644831
cycles [k]: 1645104
cycles [k]: 1645409
cycles [k]: 1646581
cycles [k]: 1646778
cycles [k]: 1646942
cycles [k]: 1647043
cycles [k]: 1647157
cycles [k]: 1647287
cycles [k]: 1647639
cycles [k]: 1647852
cycles [k]: 1647907
cycles [k]: 1648107
cycles [k]: 1648325
cycles [k]: 1648353
cycles [k]: 1648784
cycles [k]: 1648854
cycles [k]: 1648892
cycles [k]: 1649263
