exec ${PAGER:-/usr/bin/less} "$0" || exit 1
Executing tests from //stubdev:cuda_fullsolve_test_22
-----------------------------------------------------------------------------
Running main() from gmock_main.cc
[==========] Running 1 test from 1 test suite.
[----------] Global test environment set-up.
[----------] 1 test from KernelTest
[ RUN      ] KernelTest.FullSolveTest
Step 0
cycles [k]: 3299164
cycles [k]: 3299207
cycles [k]: 3305519
cycles [k]: 3302179
cycles [k]: 3302332
cycles [k]: 3309163
cycles [k]: 3305958
cycles [k]: 3306816
cycles [k]: 3307996
cycles [k]: 3309721
cycles [k]: 3311585
cycles [k]: 3312261
cycles [k]: 3312500
cycles [k]: 3323027
cycles [k]: 3315620
cycles [k]: 3324416
cycles [k]: 3316960
cycles [k]: 3321999
cycles [k]: 3317225
cycles [k]: 3317663
cycles [k]: 3318107
cycles [k]: 3318159
cycles [k]: 3325360
cycles [k]: 3325515
cycles [k]: 3326897
cycles [k]: 3332399
cycles [k]: 3330801
cycles [k]: 3331083
cycles [k]: 3332650
cycles [k]: 3333503
cycles [k]: 3340356
cycles [k]: 3336370
cycles [k]: 3341487
cycles [k]: 3338400
cycles [k]: 3339855
cycles [k]: 3340442
cycles [k]: 3342299
cycles [k]: 3347894
cycles [k]: 3348240
cycles [k]: 3349470
cycles [k]: 3350785
cycles [k]: 3351256
cycles [k]: 3351415
cycles [k]: 3352833
cycles [k]: 3361298
cycles [k]: 3360762
cycles [k]: 3357330
cycles [k]: 3361433
cycles [k]: 3362787
cycles [k]: 3363059
cycles [k]: 3364210
cycles [k]: 3369467
cycles [k]: 3365926
cycles [k]: 3366475
cycles [k]: 3367505
cycles [k]: 3368360
cycles [k]: 3369406
cycles [k]: 3370287
cycles [k]: 3376585
cycles [k]: 3376609
cycles [k]: 3377705
cycles [k]: 3380490
cycles [k]: 3379342
cycles [k]: 3375452
cycles [k]: 3375792
cycles [k]: 3376973
cycles [k]: 3377022
cycles [k]: 3383241
cycles [k]: 3385523
cycles [k]: 3388167
cycles [k]: 3384017
cycles [k]: 3385819
cycles [k]: 3393424
cycles [k]: 3393452
cycles [k]: 3394982
cycles [k]: 3395750
cycles [k]: 3396061
cycles [k]: 3394660
cycles [k]: 3392388
cycles [k]: 3394081
cycles [k]: 3399313
cycles [k]: 3396881
cycles [k]: 3397580
cycles [k]: 3406151
cycles [k]: 3402361
cycles [k]: 3415562
cycles [k]: 3415951
cycles [k]: 3418147
cycles [k]: 3417937
cycles [k]: 3415825
cycles [k]: 3413345
cycles [k]: 3414103
cycles [k]: 3417158
cycles [k]: 3418252
cycles [k]: 3425119
cycles [k]: 3420994
cycles [k]: 3421230
cycles [k]: 3422338
cycles [k]: 3426413
cycles [k]: 3426922
cycles [k]: 3428756
cycles [k]: 3430172
cycles [k]: 3433663
cycles [k]: 3434757
cycles [k]: 3435359
cycles [k]: 3435868
cycles [k]: 3430646
cycles [k]: 3436273
cycles [k]: 3431480
cycles [k]: 3443901
cycles [k]: 3436375
cycles [k]: 3448603
cycles [k]: 3446847
cycles [k]: 3440070
cycles [k]: 3445400
cycles [k]: 3452550
cycles [k]: 3448070
cycles [k]: 3448711
cycles [k]: 3461210
cycles [k]: 3457562
cycles [k]: 3460161
cycles [k]: 3461207
cycles [k]: 3462109
cycles [k]: 3467686
cycles [k]: 3471732
cycles [k]: 3472528
cycles [k]: 3474654
cycles [k]: 3469087
cycles [k]: 3476625
cycles [k]: 3477950
cycles [k]: 3484041
cycles [k]: 3492764
cycles [k]: 3489531
cycles [k]: 3486003
cycles [k]: 3491315
cycles [k]: 3493056
cycles [k]: 3494912
cycles [k]: 3500398
cycles [k]: 3502985
cycles [k]: 3507198
cycles [k]: 3501296
cycles [k]: 3504546
cycles [k]: 3508215
cycles [k]: 3522937
cycles [k]: 3523086
cycles [k]: 3523109
cycles [k]: 3522322
cycles [k]: 3524482
cycles [k]: 3527658
cycles [k]: 3528198
cycles [k]: 3529694
cycles [k]: 3533363
cycles [k]: 3533093
cycles [k]: 3537157
cycles [k]: 3537494
cycles [k]: 3538781
cycles [k]: 3546375
cycles [k]: 3542838
cycles [k]: 3550344
cycles [k]: 3544593
cycles [k]: 3547060
cycles [k]: 3547537
cycles [k]: 3552989
cycles [k]: 3561178
cycles [k]: 3561716
cycles [k]: 3561503
cycles [k]: 3563388
cycles [k]: 3562572
cycles [k]: 3571237
cycles [k]: 3575112
cycles [k]: 3570570
cycles [k]: 3573398
cycles [k]: 3574033
cycles [k]: 3575572
cycles [k]: 3574124
cycles [k]: 3576773
cycles [k]: 3575188
cycles [k]: 3575994
cycles [k]: 3580528
cycles [k]: 3577841
cycles [k]: 3576062
cycles [k]: 3578975
cycles [k]: 3582358
cycles [k]: 3583956
cycles [k]: 3584260
cycles [k]: 3584200
cycles [k]: 3585698
cycles [k]: 3584137
cycles [k]: 3587625
cycles [k]: 3584988
cycles [k]: 3586969
cycles [k]: 3587978
cycles [k]: 3596174
cycles [k]: 3593521
cycles [k]: 3596845
cycles [k]: 3601090
cycles [k]: 3601808
cycles [k]: 3598188
cycles [k]: 3600546
cycles [k]: 3601375
cycles [k]: 3599376
cycles [k]: 3603147
cycles [k]: 3601603
cycles [k]: 3606043
cycles [k]: 3607000
cycles [k]: 3610405
cycles [k]: 3610948
cycles [k]: 3610606
cycles [k]: 3613559
cycles [k]: 3613081
cycles [k]: 3611249
cycles [k]: 3615408
cycles [k]: 3624222
cycles [k]: 3618575
cycles [k]: 3619569
cycles [k]: 3621602
cycles [k]: 3621445
cycles [k]: 3623670
cycles [k]: 3625488
cycles [k]: 3624814
cycles [k]: 3626576
cycles [k]: 3628000
cycles [k]: 3628637
cycles [k]: 3628532
cycles [k]: 3629677
cycles [k]: 3629672
cycles [k]: 3628894
cycles [k]: 3631441
cycles [k]: 3631621
cycles [k]: 3632840
cycles [k]: 3631480
cycles [k]: 3641995
cycles [k]: 3637083
cycles [k]: 3640186
cycles [k]: 3638458
cycles [k]: 3640766
cycles [k]: 3641986
cycles [k]: 3641724
cycles [k]: 3643668
cycles [k]: 3644245
cycles [k]: 3647680
cycles [k]: 3647778
cycles [k]: 3649049
cycles [k]: 3651877
cycles [k]: 3658418
cycles [k]: 3652442
cycles [k]: 3652444
cycles [k]: 3656179
cycles [k]: 3662495
cycles [k]: 3661550
cycles [k]: 3662161
cycles [k]: 3666378
cycles [k]: 3667648
cycles [k]: 3667976
cycles [k]: 3668140
cycles [k]: 3667290
cycles [k]: 3668370
cycles [k]: 3668411
cycles [k]: 3670680
cycles [k]: 3670540
cycles [k]: 3672054
cycles [k]: 3673541
cycles [k]: 3675153
cycles [k]: 3674192
cycles [k]: 3674366
cycles [k]: 3677286
cycles [k]: 3677088
cycles [k]: 3678043
cycles [k]: 3680088
cycles [k]: 3678158
cycles [k]: 3680896
cycles [k]: 3685347
cycles [k]: 3686639
cycles [k]: 3682045
cycles [k]: 3683542
cycles [k]: 3682643
cycles [k]: 3683615
cycles [k]: 3686077
cycles [k]: 3682972
cycles [k]: 3684153
cycles [k]: 3690455
cycles [k]: 3684526
cycles [k]: 3685016
cycles [k]: 3692178
cycles [k]: 3686922
cycles [k]: 3686972
cycles [k]: 3689309
cycles [k]: 3693872
cycles [k]: 3688064
cycles [k]: 3692167
cycles [k]: 3692865
cycles [k]: 3692261
cycles [k]: 3692335
cycles [k]: 3696512
cycles [k]: 3691237
cycles [k]: 3688020
cycles [k]: 3689315
cycles [k]: 3692489
cycles [k]: 3693847
cycles [k]: 3694265
cycles [k]: 3697245
cycles [k]: 3698209
cycles [k]: 3700787
cycles [k]: 3697271
cycles [k]: 3694506
cycles [k]: 3698159
cycles [k]: 3702074
cycles [k]: 3697585
cycles [k]: 3695892
cycles [k]: 3699252
cycles [k]: 3702632
cycles [k]: 3699838
cycles [k]: 3708138
cycles [k]: 3699699
cycles [k]: 3704901
cycles [k]: 3702173
cycles [k]: 3703075
cycles [k]: 3704450
cycles [k]: 3704625
cycles [k]: 3703548
cycles [k]: 3703651
cycles [k]: 3705082
cycles [k]: 3705463
cycles [k]: 3705023
cycles [k]: 3706704
cycles [k]: 3707315
cycles [k]: 3708225
cycles [k]: 3708970
cycles [k]: 3706367
cycles [k]: 3709679
cycles [k]: 3709732
cycles [k]: 3709456
cycles [k]: 3710436
cycles [k]: 3709079
cycles [k]: 3711308
cycles [k]: 3711392
cycles [k]: 3712413
cycles [k]: 3712753
cycles [k]: 3713022
cycles [k]: 3714148
cycles [k]: 3712365
cycles [k]: 3716782
cycles [k]: 3722626
cycles [k]: 3717069
cycles [k]: 3719224
cycles [k]: 3721639
cycles [k]: 3721534
cycles [k]: 3724371
cycles [k]: 3723772
